SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
1996227N15176,75,1000
1993231N09134,40,1000
2002178N04155,95,998
1978281N11138,80,996
2002214N19120,55,992
1997240N12193,100,1000
2001220N17118,35,994
1987266N16148,75,1002
2018227N11145,85,998
1989354N05155,95,996
2016185N08145,110,1002
2006282N13160,75,1002
2013217N11118,40,998
1994298N25161,105,998
2002252N20121,45,992
1986353N03178,85,1000
2017212N27158,45,998
1980094N02179,60,994
2012279N15145,90,1000
1995277N07141,50,1000
2008272N15113,45,998
2014197N10137,70,1004
2001202N23152,70,1004
1977243N14129,35,990
1990319N07197,95,998
2024314N07151,95,1002
1978237N06160,90,1000
1982257N17140,95,996
1979180N03155,55,996
2016207N17116,55,998
1985240N09198,75,998
2024307N06143,100,1002
2008229N13147,75,1000
1989272N18120,65,1000
1995215N12145,50,998
2008128N07134,105,996
2011208N09145,95,998
1993246N16129,50,1000
2015226N15164,100,1002
1979137N19116,40,996
1984270N19141,45,998
2012201N15129,80,996
2000214N22155,85,996
1992212N20135,55,998
2014209N16134,55,994
2022232N18131,55,998
1986136N18114,40,996
1993215N08154,55,998
1993285N12192,50,994
2024270N24128,105,998
1987282N12137,75,996
2021102N06144,120,1002
1985294N10122,75,1000
1995252N08142,75,998
1996246N08148,85,996
1993240N17142,95,998
2022263N18137,35,1002
2003302N11133,50,998
1986343N05176,85,1004
1984267N18120,45,1000
2020296N09137,90,1000
1980137N04158,55,1004
1978006N06169,55,990
1996186N19156,65,996
1981212N17142,55,985
2004231N09147,80,996
2016205N25152,40,1000
2013274N18152,90,1000
2020285N17120,45,998
1992194N07140,35,1000
2006340N08142,85,998
1985005N04157,35,1000
1998262N20137,45,998
1992268N11193,85,1000
1989211N24153,80,996
1979262N15149,90,994
1991320N06171,120,996
1982227N09140,80,998
2013178N09133,50,1002
2007282N19181,45,1006
1991256N13171,100,1000
1978203N18114,55,992
2021046N06142,40,1000
2011236N15143,50,998
1979126N04148,40,996
1994263N17170,70,998
